Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
Group;ESXXXX;Common/ordinary shares;"Holders are typically entitled to vote and receive dividends. In the event of liquidation, holders of shares usually rank behind the entity’s creditors and holders of preferred/preference shares.";
Attribute;FirstAttribute;Voting right;indicates the kind of voting power conferred to the shareholder;
AttributeValue;ESVXXX;V;Voting (each share has one vote);
AttributeValue;ESNXXX;N;Non-voting (the shareholder has no voting right);
AttributeValue;ESRXXX;R;Restricted voting (the shareholder may be entitled to less than one vote per share);
AttributeValue;ESEXXX;E;Enhanced voting (the shareholder is entitled to more than one vote per share);
Attribute;SecondAttribute;Ownership/transfer/sales restrictions;the ownership or transfer of the security is subject to special conditions including country-specific restrictions;
AttributeValue;ESXTXX;T;Restrictions;
AttributeValue;ESXUXX;U;Free (unrestricted);
Attribute;ThirdAttribute;Payment status;Payment status;
AttributeValue;ESXXOX;O;Nil paid;
AttributeValue;ESXXPX;P;Partly paid;
AttributeValue;ESXXFX;F;Fully paid;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;ESXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;ESXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;ESXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;ESXXXZ;Z;Bearer depository receipt (Receipt - in bearer form - for securities issued in a foreign market to promote trading outside the home country of the underlying securities.);
AttributeValue;ESXXXM;M;Others (miscellaneous);
AttributeValue;ESXXXA;A;Registered depository receipt (e g ADR, Receipt - in registered form -for securities issued in a foreign market to promote trading outside the home country of the underlying securities);
Group;EPXXXX;Preferred/preference shares;"Payment of dividends to holders normally takes preference over the payment of dividends to other classes of shares. In the event of liquidation, preferred/preference shares normally rank above ordinary shares but behind creditors of the company.";
Attribute;FirstAttribute;Voting right;indicates the kind of voting power conferred to the shareholder;
AttributeValue;EPVXXX;V;Voting (each share has one vote);
AttributeValue;EPNXXX;N;Non-voting (the shareholder has no voting right);
AttributeValue;EPRXXX;R;Restricted voting (the shareholder may be entitled to less than one vote per share);
AttributeValue;EPEXXX;E;Enhanced voting (the shareholder is entitled to more than one vote per share);
Attribute;SecondAttribute;Redemption;indicates the retirement provisions made for the shares;
AttributeValue;EPXRXX;R;Redeemable (the shares may be redeemed at the option of the issuer and/or of the shareholder);
AttributeValue;EPXEXX;E;Extendible (the redemption date can be extended at the issuer or holder option);
AttributeValue;EPXTXX;T;Redeemable/extendible (the issuer and/or holders of redeemable shares with a fixed maturity date have the option to extend the maturity date);
AttributeValue;EPXGXX;G;Exchangeable (the shares may be exchanged for securities of another issuer);
AttributeValue;EPXAXX;A;Redeemable/exchangeable/extendible (the issuer and/or holders of redeemable shares with a fixed maturity date have the option to extend the maturity date and the shares may be exchanged for securities of another issuer);
AttributeValue;EPXCXX;C;Redeemable/exchangeable (the shares may be redeemed at the option of the issuer and/or of the shareholder and may be exchanged for securities of another issuer);
AttributeValue;EPXNXX;N;Perpetual (the share has no fixed maturity date);
Attribute;ThirdAttribute;Income;indicates the kind of dividend income the shareholders are entitled to;
AttributeValue;EPXXFX;F;Fixed rate income (the shareholder periodically receives a stated income);
AttributeValue;EPXXCX;C;"Cumulative, fixed rate income (the shareholder periodically receives a stated amount; dividends not paid in any year accumulate and shall be paid at a later date before dividends can be paid on the common/ordinary shares)";
AttributeValue;EPXXPX;P;Participating income (preferred/preference shareholders, in addition to receiving their fixed rate of prior dividend, share with the common shareholders in further dividend distributions and in capital distributions);
AttributeValue;EPXXQX;Q;"Cumulative, participating income (shareholders are entitled to dividends in excess of the stipulated preferential rate under specified conditions; dividends not paid in any year accumulate and shall be paid at a later date before dividends can be paid on the common/ordinary shares)";
AttributeValue;EPXXAX;A;Adjustable/variable rate income (the dividend rate is set periodically, usually based on a certain yield);
AttributeValue;EPXXNX;N;Normal rate income (shareholders are entitled to the same dividends as common/ordinary shareholders, but have other privileges, for example as regards distribution of assets upon dissolution);
AttributeValue;EPXXUX;U;Auction rate income (dividend is adjusted through an auction, such as the Dutch auction);
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;EPXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;EPXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;EPXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;EPXXXM;M;Others (miscellaneous);
Group;ECXXXX;Common/ordinary convertible shares;"Shares (common/ordinary) which, at the discretion of the holder, are convertible into other securities, at a designated rate. The conversion privilege may be perpetual or limited to a specific period.";
Attribute;FirstAttribute;Voting right;indicates the kind of voting power conferred to the shareholder;
AttributeValue;ECVXXX;V;Voting (each share has one vote);
AttributeValue;ECNXXX;N;Non-voting (the shareholder has no voting right);
AttributeValue;ECRXXX;R;Restricted voting (the shareholder may be entitled to less than one vote per share);
AttributeValue;ECEXXX;E;Enhanced voting (the shareholder is entitled to more than one vote per share);
Attribute;SecondAttribute;Ownership/transfer/sales restrictions;the ownership or transfer of the security is subject to special conditions including country-specific restrictions;
AttributeValue;ECXTXX;T;Restrictions;
AttributeValue;ECXUXX;U;Free (unrestricted);
Attribute;ThirdAttribute;Payment status;;
AttributeValue;ECXXOX;O;Nil paid;
AttributeValue;ECXXPX;P;Partly paid;
AttributeValue;ECXXFX;F;Fully paid;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;ECXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;ECXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;ECXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;ECXXXM;M;Others (miscellaneous);
Group;EFXXXX;Preferred/preference convertible shares;"Preferred/preference shares which, at the discretion of the holder, are convertible into other securities, usually common/ordinary shares, at a designated rate. The conversion privilege may be perpetual or limited to a specified period.";
Attribute;FirstAttribute;Voting right;indicates the kind of voting power conferred to the shareholder;
AttributeValue;EFVXXX;V;Voting (each share has one vote);
AttributeValue;EFNXXX;N;Non-voting (the shareholder has no voting right);
AttributeValue;EFRXXX;R;Restricted voting (the shareholder may be entitled to less than one vote per share);
AttributeValue;EFEXXX;E;Enhanced voting (the shareholder is entitled to more than one vote per share);
Attribute;SecondAttribute;Redemption;indicates the retirement provisions made for the shares;
AttributeValue;EFXRXX;R;Redeemable (the shares may be redeemed at the option of the issuer and/or of the shareholder);
AttributeValue;EFXEXX;E;Extendible (the redemption date can be extended at the issuer or holder option);
AttributeValue;EFXTXX;T;Redeemable/extendible (the issuer and/or holders of redeemable shares with a fixed maturity date have the option to extend the maturity date);
AttributeValue;EFXGXX;G;Exchangeable (the shares may be exchanged for securities of another issuer);
AttributeValue;EFXAXX;A;Redeemable/exchangeable/extendible (the issuer and/or holders of redeemable shares with a fixed maturity date have the option to extend the maturity date and the shares may be exchanged for securities of another issuer);
AttributeValue;EFXCXX;C;Redeemable/exchangeable (the shares may be redeemed at the option of the issuer and/or of the shareholder and may be exchanged for securities of another issuer);
AttributeValue;EFXNXX;N;Perpetual (the share has no fixed maturity date);
Attribute;ThirdAttribute;Income;indicates the kind of dividend income the shareholders are entitled to;
AttributeValue;EFXXFX;F;Fixed rate income (the shareholder periodically receives a stated income);
AttributeValue;EFXXCX;C;"Cumulative, fixed rate income (the shareholder periodically receives a stated amount; dividends not paid in any year accumulate and shall be paid at a later date before dividends can be paid on the common/ordinary shares)";
AttributeValue;EFXXPX;P;Participating income (preferred/preference shareholders, in addition to receiving their fixed rate of prior dividend, share with the common shareholders in further dividend distributions and in capital distributions);
AttributeValue;EFXXQX;Q;"Cumulative, participating income (shareholders are entitled to dividends in excess of the stipulated preferential rate under specified conditions; dividends not paid in any year accumulate and shall be paid at a later date before dividends can be paid on the common/ordinary shares)";
AttributeValue;EFXXAX;A;Adjustable/variable rate income (the dividend rate is set periodically, usually based on a certain yield);
AttributeValue;EFXXNX;N;Normal rate income (shareholders are entitled to the same dividends as common/ordinary shareholders, but have other privileges, for example as regards distribution of assets upon dissolution);
AttributeValue;EFXXUX;U;Auction rate income (dividend is adjusted through an auction, such as the Dutch auction);
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;EFXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;EFXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;EFXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;EFXXXZ;Z;Bearer depository receipt (Receipt - in bearer form - for securities issued in a foreign market to promote trading outside the home country of the underlying securities.);
AttributeValue;EFXXXM;M;Others (miscellaneous);
AttributeValue;EFXXXA;A;Registered depository receipt (e g ADR, Receipt - in registered form -for securities issued in a foreign market to promote trading outside the home country of the underlying securities);
Group;ELXXXX;Limited partnership units;"A limited partnership is a form of partnership similar to a general partnership, except that in addition to one or more general partners (GPs), there are one or more limited partners (LPs). Like shareholders in a corporation, the LPs have limited liability, i.e. they are only liable on debts incurred by the firm to the extent of their registered investment and they have no management authority. The GPs pay the LPs the equivalent of a dividend on their investment, the nature and extent of which is usually defined in the partnership agreement.";
Attribute;FirstAttribute;Voting right;indicates the kind of voting power conferred to the shareholder;
AttributeValue;ELVXXX;V;Voting (each share has one vote);
